usec,velocity,heading
2211652,-0.250000,0.112269
2221656,-0.250000,0.074319
2231656,-0.250000,0.039531
2241698,-0.250000,0.003162
2251698,-0.250000,-0.034788
2261699,-0.250000,-0.069575
2271710,-0.250000,-0.107525
2281710,-0.250000,-0.145475
2291710,-0.250000,-0.183425
2301757,-0.250000,-0.219794
2311757,-0.250000,-0.257744
2321757,-0.250000,-0.295694
2331760,-0.250000,-0.333644
2341798,-0.250000,-0.371594
2351798,-0.250000,-0.409544
2361799,-0.250000,-0.447494
2371806,-0.250000,-0.487026
2381806,-0.250000,-0.524976
2391813,-0.250000,-0.564507
2401813,-0.250000,-0.602457
2411813,-0.250000,-0.641988
2421814,-0.250000,-0.681519
2431815,-0.250000,-0.722632
2441838,-0.250000,-0.760582
2451843,-0.250000,-0.798532
2461849,0.250000,-0.838063
2471853,0.250000,-0.876013
2481896,0.250000,-0.907638
2491896,0.250000,-0.925032
2501896,0.250000,-0.936101
2511934,0.250000,-0.945588
2521940,0.250000,-0.951913
2531941,0.250000,-0.955076
2541944,0.250000,-0.955076
2551944,0.250000,-0.955076
2561944,0.250000,-0.955076
2571957,0.250000,-0.951913
2581957,0.250000,-0.947170
2591965,0.250000,-0.940845
2601998,0.250000,-0.934520
2611999,0.250000,-0.928195
2621999,0.250000,-0.915545
2632006,0.250000,-0.901313
2642007,0.250000,-0.887082
2652008,0.250000,-0.869688
2662046,0.250000,-0.849132
2672054,0.250000,-0.830157
2682054,0.250000,-0.809601
2692061,0.250000,-0.787463
2702062,0.250000,-0.762163
2712092,0.250000,-0.736863
2722096,0.250000,-0.708401
2732097,0.250000,-0.679938
2742098,0.250000,-0.653057
2752098,0.250000,-0.623013
2762098,0.250000,-0.592969
2772099,0.250000,-0.561344
2782100,0.250000,-0.528138
2792107,0.250000,-0.496513
2802111,0.250000,-0.464888
2812112,0.250000,-0.431682
2822112,0.250000,-0.396894
2832112,0.250000,-0.363688
2842155,0.250000,-0.328900
2852155,0.250000,-0.294113
2862155,0.250000,-0.259325
2872159,0.250000,-0.221375
2882164,0.250000,-0.185006
