accelX,accelY,accelZ,magX,magY,magZ,gryoX,gyroY,gyroZ,gyroTemperature
Mean: 216.80083333333334,-351.4651666666667,4197.436166666666,-146.698,38.809,-846.3095,-8.588666666666667,-8.7715,37.647333333333336,5.4635
Variance: 25.902816441629824,17.353678918715456,39.665536228389136,28.96328988164579,29.173047841306893,64.81617911320207,665.6850857365116,299.6128898983164,276.21166149913864,0.7277890481746939
Mean: 217.3255,-348.9705,4195.503333333333,-146.12066666666666,39.93683333333333,-846.8733333333333,-4.564666666666667,-24.136833333333332,56.875166666666665,7.518666666666666
Variance: 23.378779546591336,17.422866894475895,49.81795854881657,31.13962949380455,29.711795271434056,54.59372117579391,716.9159708840363,331.72506414958053,276.1026004056233,0.2763642829360418
Mean: 217.31383333333332,-346.80216666666666,4193.695333333333,-143.0605,36.45516666666666,-846.5155,11.109833333333333,-26.908666666666665,62.89366666666667,8.975833333333334
Variance: 62.147699922208965,33.673974301263,41.60777951924279,32.39390540089949,28.157349530477365,58.34648416407567,652.2741489970551,300.00399222092574,254.96585419792189,0.09226468300272526
Mean: 217.00283333333334,-345.706,4193.225166666667,-139.09516666666667,35.913333333333334,-849.8771666666667,21.390166666666666,-30.596666666666668,67.6595,9.920666666666667
Variance: 21.621428877030795,16.06657509583993,38.421203506451924,31.74473409457025,26.34921375784857,53.88205898203518,671.4218402789354,299.218858698672,251.45446882813803,0.07305173084403277
Mean: 216.85783333333333,-344.51433333333335,4192.676333333334,-134.791,37.7305,-847.9318333333333,25.501333333333335,-33.42483333333333,68.62533333333333,10.357
Variance: 21.67590128910464,16.25216991721759,38.478319608443854,33.120505750959246,29.891518336389314,54.78698446957702,635.162858698672,296.02768792020885,249.30884302939376,0.22958926487747663
Mean: 216.38916666666665,-343.4698333333333,4192.875666666667,-132.22266666666667,40.44083333333333,-851.4846666666666,23.9105,-36.3595,68.3125,10.994833333333334
Variance: 20.749507556817676,15.506007640157904,37.250416291000484,30.01242162582576,28.46757723509478,56.028102906073386,651.1536820303385,290.48434047341226,251.59444282380397,0.006140995721518559
Mean: 216.375,-342.5695,4192.602166666667,-130.09616666666668,41.961666666666666,-852.8228333333333,19.463666666666665,-39.001333333333335,67.43,11.219666666666667
Variance: 20.63648108018003,15.705120603428977,37.50714649544455,33.83855839862309,30.508615324776393,56.189143496089066,650.7187996888371,279.30388220258936,250.68988164694142,0.17144179585486277
Mean: 216.62966666666668,-341.7038333333333,4192.735333333333,-124.2355,42.25233333333333,-855.6375,24.481166666666667,-43.861666666666665,66.88816666666666,11.931333333333333
Variance: 21.2947356781675,16.438525059736257,36.06029493837759,31.839679696615942,28.209362782686043,59.3586535255876,686.4330508140246,291.4774434627994,256.79445904873063,0.06396221592487135
Mean: 216.59766666666667,-341.14916666666664,4192.443666666667,-122.76016666666666,41.90083333333333,-856.7505,54.480333333333334,-47.69683333333333,65.80216666666666,11.999833333333333
Variance: 21.011963216090802,16.668360698996118,36.50291037428357,29.273525559816743,27.85364157915212,56.100933238851525,732.9277678501971,304.52267708506974,256.557454881369,1.6666666666211277E-4
Mean: 216.70066666666668,-340.47933333333333,4192.199,-120.9955,40.505,-853.8631666666666,86.36483333333334,-57.41916666666667,64.763,12.002333333333333
Variance: 20.901216424958154,16.05391520809225,37.701682613300946,28.73826946157687,29.918628104684053,54.85225201416143,710.498479718842,307.62907081735864,252.249539256543,0.002328276935044833
Mean: 216.53383333333332,-340.2608333333333,4192.008333333333,-119.19766666666666,40.760333333333335,-854.9075,108.60716666666667,-31.237333333333332,61.10366666666667,12.2135
Variance: 21.605122826023486,16.225503556150898,36.9184169575341,28.12461532477757,29.96922142579307,53.95160235045532,846.7673098571993,865.7212931044062,297.5945189753847,0.1679457409568291
Mean: 216.62166666666667,-339.8951666666667,4191.607666666667,-117.469,41.86333333333334,-857.6568333333333,86.38266666666667,5.012,51.3395,12.852
Variance: 20.03653664499705,16.529931627485947,38.2371140734556,27.912691115185428,28.78845363116079,56.786867783494465,733.5681609157078,305.7401460243374,252.38797107851312,0.1261170195032507
Mean: 216.92666666666668,-339.5555,4191.003166666666,-114.81083333333333,42.77433333333333,-859.1713333333333,58.43366666666667,12.737,48.541666666666664,12.998
Variance: 42.918775351450115,44.67769936655616,40.59525584840719,28.28776393287787,29.529329443796303,54.16733944545211,841.5951990887372,349.12635205867645,274.5390203922877,0.0019963327221243898
Mean: 216.65166666666667,-339.785,4192.936833333333,-112.85383333333333,42.352333333333334,-859.0018333333334,10.097,18.564166666666665,38.80016666666667,13.009166666666667
Variance: 21.022167583488788,17.412010335051868,41.720129993284196,29.999135161416394,28.945352114241178,54.42123351118568,676.1652852142024,303.4841299938879,264.2296049063732,0.009084152914377206
Mean: 216.024,-339.7968333333333,4197.895833333333,-111.13183333333333,42.398,-858.762,5.546166666666666,14.768333333333333,37.735166666666665,13.468833333333333
Variance: 20.96691848641933,15.8168594488046,34.44005598070463,30.77524918041829,29.871907984664013,54.24439673273538,634.5192885203089,303.67560982385953,260.6808101072402,0.24907015058065118
Mean: 215.87133333333333,-339.549,4198.469166666667,-111.27083333333333,41.81283333333333,-858.9145,2.4976666666666665,16.02316666666667,35.60033333333333,13.9615
Variance: 20.876257598489538,16.898748791462225,34.52780394022376,33.74577360115492,28.70825334778017,52.04553067181424,650.8698061899206,298.7077479302106,261.88624759682176,0.03702392065344131
Mean: 215.543,-339.524,4199.339833333333,-109.53816666666667,41.400333333333336,-859.529,0.7331666666666666,17.141166666666667,35.503166666666665,13.999833333333333
