usec,speed,distance
2260804,-0.250000,10.416381
2270811,-0.250000,9.097613
2280811,-0.250000,7.778846
2290842,-0.250000,6.460078
2300842,-0.250000,5.089730
2310842,-0.250000,3.716013
2320857,-0.250000,2.397246
2330858,-0.250000,1.078478
2340858,-0.250000,-0.350187
2350866,-0.250000,-1.610908
2360866,-0.250000,-2.984624
2370871,-0.250000,-4.303392
2380903,-0.250000,-5.732057
2390904,-0.250000,-7.050825
2400911,-0.250000,-8.317739
2410911,-0.250000,-9.691456
2420915,-0.250000,-11.120121
2430915,-0.250000,-12.658684
2440915,-0.250000,-14.197247
2450915,-0.250000,-15.677223
2460915,-0.250000,-17.102386
2470920,-0.250000,-18.527550
2480943,-0.250000,-19.843084
2490943,-0.250000,-21.268248
2500943,-0.250000,-22.635223
2510944,-0.250000,-24.005571
2520944,-0.250000,-25.379288
2530945,-0.250000,-26.698055
2540945,-0.250000,-28.068403
2550946,-0.250000,-29.383938
2560953,-0.250000,-30.757654
2570954,-0.250000,-32.134735
2580959,-0.250000,-33.346565
2590966,-0.250000,-34.668564
2600970,-0.250000,-35.990562
2610996,-0.250000,-37.312561
2620997,-0.250000,-38.686279
2631010,-0.250000,-40.005047
2641012,-0.250000,-41.323814
2651012,-0.250000,-42.700897
2661012,-0.250000,-44.022896
2671013,-0.250000,-45.396614
2681045,-0.250000,-46.715382
2691045,-0.250000,-48.034149
2701045,-0.250000,-49.411232
2711064,-0.250000,-50.733231
2721065,-0.250000,-52.165394
2731070,-0.250000,-53.487392
2741098,-0.250000,-54.809391
2751099,-0.250000,-56.183109
2761099,-0.250000,-57.501877
2771100,-0.250000,-58.820644
2781110,-0.250000,-60.197727
2791111,-0.250000,-61.571445
2801112,-0.250000,-62.838360
2811113,-0.250000,-64.212074
2821113,-0.250000,-65.530846
2831118,-0.250000,-66.959511
2841118,-0.250000,-68.278282
2851118,-0.250000,-69.597054
2861119,-0.250000,-70.915825
2871119,-0.250000,-72.344490
2881143,-0.250000,-73.611404
2891144,-0.250000,-74.933403
2901144,-0.250000,-76.307121
2911144,-0.250000,-77.735786
2921146,-0.250000,-79.112869
2931147,-0.250000,-80.434868
2941147,-0.250000,-81.808586
2951154,-0.250000,-83.127357
2961158,-0.250000,-84.452583
2971158,-0.250000,-85.777809
2981163,-0.250000,-87.154892
2991163,-0.250000,-88.476891
3001163,-0.250000,-89.798889
3011200,-0.250000,-91.120888
3021200,-0.250000,-92.553055
3031201,-0.250000,-93.875053
3041221,-0.250000,-95.307220
3051244,-0.250000,-96.680939
3061245,-0.250000,-98.058022
3071251,-0.250000,-99.431740
3081258,-0.250000,-100.750511
3091258,-0.250000,-102.120857
3101266,-0.250000,-103.494576
3111296,-0.250000,-104.864922
3121298,-0.250000,-106.180458
3131299,-0.250000,-107.547432
3141299,-0.250000,-108.859726
3151311,-0.250000,-110.281380
3161341,-0.250000,-111.644981
3171343,-0.250000,-113.011955
3181344,-0.250000,-114.324249
3191345,-0.250000,-115.694595
3201345,-0.250000,-117.119759
3211345,-0.250000,-118.486732
3221346,-0.250000,-119.799026
3231346,-0.250000,-121.169373
3241347,-0.250000,-122.536346
3251347,-0.250000,-123.958000
3261368,-0.250000,-125.270294
3271399,-0.250000,-126.633896
3281399,-0.250000,-128.000870
3291399,0.250000,-129.313171
3301400,0.250000,-130.676773
3311400,0.250000,-131.767654
3321400,0.250000,-132.313095
3331401,0.250000,-132.749451
3341405,0.250000,-133.021500
3351412,0.250000,-133.130310
3361413,0.250000,-133.238586
3371437,0.250000,-133.292587
3381438,0.250000,-133.346451
3391442,0.250000,-133.400177
3401455,0.250000,-133.400177
3411460,0.250000,-133.292709
3421460,0.250000,-133.131927
3431466,0.250000,-132.811996
3441466,0.250000,-132.546066
3451467,0.250000,-132.174713
3461506,0.250000,-131.698486
3471515,0.250000,-131.172089
3481515,0.250000,-130.594559
3491515,0.250000,-130.018539
3501515,0.250000,-129.339569
3511516,0.250000,-128.608368
3521548,0.250000,-127.827003
3531553,0.250000,-127.047699
3541558,0.250000,-126.166832
3551558,0.250000,-125.288307
3561559,0.250000,-124.358101
3571560,0.250000,-123.427895
3581567,0.250000,-122.394333
3591569,0.250000,-121.415070
3601570,0.250000,-120.384262
3611571,0.250000,-119.304817
3621571,0.250000,-118.173973
3631597,0.250000,-117.145927
3641599,0.250000,-116.069382
3651599,0.250000,-114.941574
3661600,0.250000,-113.813766
3671602,0.250000,-112.637878
3681602,0.250000,-111.458809
3691602,0.250000,-110.282921
3701619,0.250000,-109.158157
3711619,0.250000,-108.033394
3721620,0.250000,-106.806381
3731650,0.250000,-105.579369
3741654,0.250000,-104.406662
3751655,0.250000,-103.182968
3761665,0.250000,-102.061249
3771670,0.250000,-100.783104
3781699,0.250000,-99.610397
3791699,0.250000,-98.339180
3801700,0.250000,-97.112167
3811700,0.250000,-95.939461
3821705,0.250000,-94.668243
3831711,0.250000,-93.447876
3841711,0.250000,-92.227509
3851745,0.250000,-90.952827
3861745,0.250000,-89.729134
3871746,0.250000,-88.505440
3881751,0.250000,-87.234222
3891752,0.250000,-86.013855
3901753,0.250000,-84.691788
3911804,0.250000,-83.471420
3921811,0.250000,-82.196739
3931819,0.250000,-81.020851
3941848,0.250000,-79.746170
3951849,0.250000,-78.468025
3961850,0.250000,-77.193344
3971856,0.250000,-76.017448
3981859,0.250000,-74.688179
3991859,0.250000,-73.413498
4001859,0.250000,-72.189804
4011859,0.250000,-70.966110
4021859,0.250000,-69.687965
4031862,0.250000,-68.460945
4041862,0.250000,-67.186264
4051863,0.250000,-65.962570
4061901,0.250000,-64.738876
4071902,0.250000,-63.413204
4081939,0.250000,-62.189510
4091940,0.250000,-60.965816
4101943,0.250000,-59.647354
4111945,0.250000,-58.430313
4121952,0.250000,-57.159096
4131954,0.250000,-55.938725
4141954,0.250000,-54.670971
4152001,0.250000,-53.352509
4162006,0.250000,-52.135468
4172010,0.250000,-50.817005
4182017,0.250000,-49.599964
4192038,0.250000,-48.382923
4202043,0.250000,-47.064461
4212053,0.250000,-45.847420
4222060,0.250000,-44.630379
4232061,0.250000,-43.366096
4242067,0.250000,-42.152386
4252069,0.250000,-40.884632
4262096,0.250000,-39.620350
4272098,0.250000,-38.406639
4282099,0.250000,-37.138885
4292100,0.250000,-35.874603
4302108,0.250000,-34.660892
4312113,0.250000,-33.393139
4322114,0.250000,-32.128857
4332149,0.250000,-30.915146
4342149,0.250000,-29.600292
4352153,0.250000,-28.386581
4362154,0.250000,-27.118828
4372157,0.250000,-25.901785
4382159,0.250000,-24.637503
4392197,0.250000,-23.369749
4402198,0.250000,-22.152706
4412198,0.250000,-20.935663
4422214,0.250000,-19.617199
4432214,0.250000,-18.352917
4442215,0.250000,-17.085163
4452253,0.250000,-15.813942
4462254,0.250000,-14.546188
4472258,0.250000,-13.329144
4482302,0.250000,-12.010680
4492303,0.250000,-10.739459
4502311,0.250000,-9.519087
4512311,0.250000,-8.251333
4522312,0.250000,-7.034289
4532312,0.250000,-5.715825
4542338,0.250000,-4.498781
4552344,0.250000,-3.227560
4562345,0.250000,-1.959805
4572357,0.250000,-0.742761
4582357,0.250000,0.521523
4592358,0.250000,1.789277
4602409,0.250000,3.006321
4612413,0.250000,4.324786
4622413,0.250000,5.494310
4632415,0.250000,6.762064
4642420,0.250000,7.979109
4652420,0.250000,9.297574
4662453,0.250000,10.514619
4672459,0.250000,11.731664
4682459,0.250000,13.050129
4692464,0.250000,14.219653
4702470,0.250000,15.487409
4712495,0.250000,16.704454
4722505,0.250000,17.968739
4732512,0.250000,19.236494
4742514,0.250000,20.453539
4752549,0.250000,21.670584
4762550,0.250000,22.989050
4772553,0.250000,24.206095
4782570,0.250000,25.423140
4792598,0.250000,26.640184
4802599,0.250000,27.958651
4812599,0.250000,29.229874
4822599,0.250000,30.497629
4832600,0.250000,31.714674
4842606,0.250000,32.985897
4852612,0.250000,34.253654
4862613,0.250000,35.470699
4872645,0.250000,36.687744
4882646,0.250000,38.006210
4892654,0.250000,39.223255
4902655,0.250000,40.440300
4912659,0.250000,41.657345
4922660,0.250000,42.975811
4932702,0.250000,44.240097
4942703,0.250000,45.507854
4952703,0.250000,46.724899
4962706,0.250000,47.996124
4972709,0.250000,49.263882
4982711,0.250000,50.535107
4992752,0.250000,51.755482
5002752,0.250000,53.023239
5012754,0.250000,54.294464
5022767,0.250000,55.467178
5032767,0.250000,56.738403
5042797,0.250000,58.006161
5052805,0.250000,59.277386
5062811,0.250000,60.497761
5072819,0.250000,61.765518
5082841,0.250000,63.036743
5092843,0.250000,64.304504
5102844,0.250000,65.521553
5112858,0.250000,66.792778
5122858,0.250000,68.013153
5132858,0.250000,69.280914
5142858,0.250000,70.552139
5152870,0.250000,71.772514
5162870,0.250000,73.047203
5172904,0.250000,74.318428
5182910,0.250000,75.538803
5192910,0.250000,76.806564
5202918,0.250000,78.077789
5212918,0.250000,79.345551
5222919,0.250000,80.562599
